,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,Occupation,Gender,Age,Household income,Education,Location,Gender_code,Age_code,Household income_code,Education_code,RelationshipLength_code,Frequency in separate beds_code,sleep together?
821,Divorced,1-5 years,Never,"Education, Training, and Library Occupations",Female,> 60,"$150,000+",Graduate degree,South Atlantic,1,4,5,5,1.0,0.0,1.0
822,Married,6-10 years,A few times per month,homemake and homeschool teacher,Female,18-29,"$0 - $24,999",Bachelor degree,East South Central,1,1,1,4,2.0,3.0,0.0
823,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,"Government, public sector, Dept. of Motor Vehicles clerk",Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,4,3,3,2.0,1.0,0.0
824,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,0,4,3,5,5.0,0.0,1.0
825,Married,More than 20 years,Never,Healthcare Support Occupations,Female,45-60,"$100,000 - $149,999",Bachelor degree,East North Central,1,3,4,4,5.0,0.0,1.0
826,In a domestic partnership or civil union,6-10 years,Never,Management Occupations,Female,30-44,"$150,000+",Some college or Associate degree,South Atlantic,1,2,5,3,2.0,0.0,1.0
827,Married,More than 20 years,Once a year or less,Protective Service Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,West South Central,1,3,4,3,5.0,1.0,0.0
828,Married,1-5 years,A few times per week,Construction and Extraction Occupations,Male,30-44,"$150,000+",Graduate degree,South Atlantic,0,2,5,5,1.0,4.0,0.0
829,Married,11-15 years,Every night,retired,Female,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,1,4,3,5,3.0,5.0,0.0
830,Married,More than 20 years,Once a year or less,retired engineer,Male,> 60,"$150,000+",Graduate degree,New England,0,4,5,5,5.0,1.0,0.0
831,Married,16-20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,East North Central,0,3,4,4,4.0,0.0,1.0
832,Married,16-20 years,Every night,Community and Social Service Occupations,Female,45-60,"$100,000 - $149,999",Graduate degree,West South Central,1,3,4,5,4.0,5.0,0.0
833,Married,More than 20 years,Once a month or less,Retired,Female,> 60,"$100,000 - $149,999",Some college or Associate degree,Pacific,1,4,4,3,5.0,2.0,0.0
834,Married,16-20 years,Never,"Education, Training, and Library Occupations",Male,45-60,"$150,000+",Graduate degree,East North Central,0,3,5,5,4.0,0.0,1.0
835,Married,More than 20 years,Every night,retired,Male,> 60,"$25,000 - $49,999",Did not disclose,West North Central,0,4,2,0,5.0,5.0,0.0
836,Married,More than 20 years,Every night,Office and Administrative Support Occupations,Female,45-60,"$50,000 - $99,999",Bachelor degree,East South Central,1,3,3,4,5.0,5.0,0.0
837,Married,16-20 years,Once a year or less,Computer and Mathematical Occupations,Male,45-60,"$0 - $24,999",Some college or Associate degree,Pacific,0,3,1,3,4.0,1.0,0.0
838,"Single, but cohabiting with a significant other",Less than 1 year,Never,Carpentry,Male,18-29,Did not disclose,Less than high school degree,New England,0,1,0,1,0.0,0.0,1.0
839,Married,1-5 years,Never,Legal Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,1,2,3,3,1.0,0.0,1.0
840,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,> 60,"$150,000+",Graduate degree,West South Central,1,4,5,5,5.0,0.0,1.0
841,Married,11-15 years,Once a month or less,Mom and housewife,Female,18-29,Did not disclose,Bachelor degree,East South Central,1,1,0,4,3.0,2.0,0.0
842,Married,More than 20 years,Once a year or less,"Installation, Maintenance, and Repair Occupations",Male,45-60,"$100,000 - $149,999",High school degree,New England,0,3,4,2,5.0,1.0,0.0
843,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Male,45-60,"$50,000 - $99,999",Graduate degree,Mountain,0,3,3,5,5.0,0.0,1.0
844,Married,16-20 years,Every night,Sales and Related Occupations,Male,> 60,"$150,000+",Bachelor degree,East North Central,0,4,5,4,4.0,5.0,0.0
845,Married,11-15 years,Once a year or less,Computer and Mathematical Occupations,Female,45-60,Did not disclose,Bachelor degree,East North Central,1,3,0,4,3.0,1.0,0.0
846,In a domestic partnership or civil union,11-15 years,Never,"disabled,  unemployed",Female,45-60,"$25,000 - $49,999",Some college or Associate degree,East North Central,1,3,2,3,3.0,0.0,1.0
847,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,3,3,4,5.0,0.0,1.0
848,Married,6-10 years,A few times per week,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central,1,2,3,5,2.0,4.0,0.0
849,Married,6-10 years,Every night,Community and Social Service Occupations,Female,30-44,"$25,000 - $49,999",High school degree,East North Central,1,2,2,2,2.0,5.0,0.0
850,Married,6-10 years,Never,Healthcare Practitioners and Technical Occupations,Female,30-44,"$50,000 - $99,999",High school degree,South Atlantic,1,2,3,2,2.0,0.0,1.0
851,Married,6-10 years,Never,veterinary,Male,18-29,Did not disclose,Some college or Associate degree,Pacific,0,1,0,3,2.0,0.0,1.0
852,Married,More than 20 years,Every night,retired,Female,> 60,Did not disclose,Graduate degree,Middle Atlantic,1,4,0,5,5.0,5.0,0.0
853,Married,6-10 years,Never,Office and Administrative Support Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,2.0,0.0,1.0
854,Married,6-10 years,Never,Legal Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,2.0,0.0,1.0
855,Married,6-10 years,Once a year or less,Computer and Mathematical Occupations,Male,30-44,Did not disclose,Some college or Associate degree,Pacific,0,2,0,3,2.0,1.0,0.0
856,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,Did not disclose,High school degree,Middle Atlantic,1,3,0,2,5.0,0.0,1.0
857,"Single, but cohabiting with a significant other",1-5 years,Never,Management Occupations,Female,30-44,"$100,000 - $149,999",Bachelor degree,East North Central,1,2,4,4,1.0,0.0,1.0
858,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$150,000+",Graduate degree,Pacific,0,4,5,5,5.0,0.0,1.0
859,Married,More than 20 years,Once a month or less,Legal Occupations,Female,45-60,"$50,000 - $99,999",Graduate degree,New England,1,3,3,5,5.0,2.0,0.0
860,Married,6-10 years,Never,Legal Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,1,3,4,3,2.0,0.0,1.0
861,Married,More than 20 years,Once a year or less,Retired,Male,> 60,Did not disclose,High school degree,East North Central,0,4,0,2,5.0,1.0,0.0
862,Married,More than 20 years,Once a month or less,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Graduate degree,Middle Atlantic,1,3,0,5,5.0,2.0,0.0
863,Married,More than 20 years,Never,Management Occupations,Male,45-60,"$150,000+",Graduate degree,East North Central,0,3,5,5,5.0,0.0,1.0
864,"Single, but cohabiting with a significant other",Less than 1 year,Never,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0.0,0.0,1.0
865,"Single, but cohabiting with a significant other",1-5 years,Never,Airlines,Male,18-29,"$25,000 - $49,999",Bachelor degree,West South Central,0,1,2,4,1.0,0.0,1.0
866,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,Did not disclose,Some college or Associate degree,West South Central,1,4,0,3,5.0,0.0,1.0
867,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,"$150,000+",Graduate degree,East North Central,1,4,5,5,5.0,0.0,1.0
868,Married,More than 20 years,Once a year or less,Personal Care and Service Occupations,Female,45-60,"$0 - $24,999",Some college or Associate degree,New England,1,3,1,3,5.0,1.0,0.0
869,Married,6-10 years,Never,Architecture and Engineering Occupations,Female,> 60,"$0 - $24,999",High school degree,Middle Atlantic,1,4,1,2,2.0,0.0,1.0
870,Married,More than 20 years,Once a year or less,Healthcare Support Occupations,Female,45-60,Did not disclose,Graduate degree,Middle Atlantic,1,3,0,5,5.0,1.0,0.0
871,Married,More than 20 years,Every night,retired,Male,> 60,"$50,000 - $99,999",Graduate degree,West North Central,0,4,3,5,5.0,5.0,0.0
872,Married,More than 20 years,Every night,retired,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,5.0,0.0
873,"Single, but cohabiting with a significant other",1-5 years,Never,unemployed,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,West South Central,1,2,2,3,1.0,0.0,1.0
874,"Single, but cohabiting with a significant other",1-5 years,Every night,Computer and Mathematical Occupations,Male,30-44,"$0 - $24,999",Bachelor degree,South Atlantic,0,2,1,4,1.0,5.0,0.0
875,Married,11-15 years,Never,Retired,Male,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic,0,4,3,5,3.0,0.0,1.0
876,Married,11-15 years,Once a month or less,Business and Financial Operations Occupations,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,0,2,2,3,3.0,2.0,0.0
877,Married,More than 20 years,Once a month or less,homemaker,Female,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,3,3,4,5.0,2.0,0.0
878,Married,11-15 years,Once a month or less,"Education, Training, and Library Occupations",Male,45-60,"$25,000 - $49,999",Graduate degree,West South Central,0,3,2,5,3.0,2.0,0.0
879,Married,11-15 years,Never,Retired,Male,> 60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,0,4,4,4,3.0,0.0,1.0
880,Married,11-15 years,Once a year or less,Office and Administrative Support Occupations,Female,45-60,Did not disclose,Some college or Associate degree,Middle Atlantic,1,3,0,3,3.0,1.0,0.0
881,Married,6-10 years,Once a year or less,Business and Financial Operations Occupations,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,West South Central,0,1,2,3,2.0,1.0,0.0
882,Married,6-10 years,Never,Planning,Male,18-29,"$50,000 - $99,999",Bachelor degree,West South Central,0,1,3,4,2.0,0.0,1.0
883,Married,6-10 years,Once a month or less,Legal Occupations,Male,45-60,"$150,000+",Bachelor degree,Did not disclose,0,3,5,4,2.0,2.0,0.0
884,Married,16-20 years,Never,Architecture and Engineering Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central,0,3,3,5,4.0,0.0,1.0
885,Married,16-20 years,Every night,Housekeeper,Female,45-60,"$0 - $24,999",Less than high school degree,South Atlantic,1,3,1,1,4.0,5.0,0.0
886,"Single, but cohabiting with a significant other",Less than 1 year,Never,Sales and Related Occupations,Female,18-29,"$0 - $24,999",Some college or Associate degree,East South Central,1,1,1,3,0.0,0.0,1.0
887,Married,More than 20 years,Every night,retired,Female,> 60,Did not disclose,Graduate degree,South Atlantic,1,4,0,5,5.0,5.0,0.0
888,Married,More than 20 years,Once a month or less,Office and Administrative Support Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,2.0,0.0
889,Married,More than 20 years,Every night,retired,Female,> 60,Did not disclose,Bachelor degree,West South Central,1,4,0,4,5.0,5.0,0.0
890,"Single, but cohabiting with a significant other",Less than 1 year,Never,Food Preparation and Serving Related Occupations,Female,18-29,Did not disclose,Bachelor degree,Middle Atlantic,1,1,0,4,0.0,0.0,1.0
891,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Female,45-60,Did not disclose,Graduate degree,Mountain,1,3,0,5,5.0,0.0,1.0
892,Married,More than 20 years,Once a month or less,Legal Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,0,3,4,5,5.0,2.0,0.0
893,Married,11-15 years,Never,Legal Occupations,Male,45-60,"$150,000+",Graduate degree,South Atlantic,0,3,5,5,3.0,0.0,1.0
894,Married,More than 20 years,Never,retired,Female,> 60,Did not disclose,Bachelor degree,Middle Atlantic,1,4,0,4,5.0,0.0,1.0
895,"Single, but cohabiting with a significant other",6-10 years,Never,Management Occupations,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,Mountain,0,2,4,3,2.0,0.0,1.0
896,Married,More than 20 years,A few times per month,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Some college or Associate degree,East North Central,1,3,0,3,5.0,3.0,0.0
897,Married,11-15 years,Never,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,New England,1,3,4,3,3.0,0.0,1.0
898,Married,More than 20 years,Once a year or less,Healthcare Support Occupations,Female,45-60,"$100,000 - $149,999",Bachelor degree,West North Central,1,3,4,4,5.0,1.0,0.0
899,In a domestic partnership or civil union,Less than 1 year,Never,"Education, Training, and Library Occupations",Female,18-29,"$100,000 - $149,999",Graduate degree,Pacific,1,1,4,5,0.0,0.0,1.0
900,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,1,3,4,1.0,0.0,1.0
901,Married,16-20 years,Never,Management Occupations,Female,45-60,"$100,000 - $149,999",Bachelor degree,Pacific,1,3,4,4,4.0,0.0,1.0
902,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,Community and Social Service Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,Mountain,1,1,3,4,2.0,1.0,0.0
903,Married,16-20 years,Every night,Healthcare Practitioners and Technical Occupations,Female,45-60,Did not disclose,Bachelor degree,Middle Atlantic,1,3,0,4,4.0,5.0,0.0
904,"Single, but cohabiting with a significant other",6-10 years,Once a month or less,Computer and Mathematical Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,0,1,3,4,2.0,2.0,0.0
905,Married,16-20 years,Never,Computer and Mathematical Occupations,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific,0,4,4,5,4.0,0.0,1.0
906,Married,More than 20 years,Every night,retired,Male,> 60,"$100,000 - $149,999",Bachelor degree,West North Central,0,4,4,4,5.0,5.0,0.0
907,Married,11-15 years,Never,Healthcare Practitioners and Technical Occupations,Female,30-44,"$100,000 - $149,999",Graduate degree,East South Central,1,2,4,5,3.0,0.0,1.0
908,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$0 - $24,999",Some college or Associate degree,Mountain,0,4,1,3,5.0,0.0,1.0
909,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$0 - $24,999",Bachelor degree,South Atlantic,1,2,1,4,5.0,0.0,1.0
910,Married,16-20 years,Once a year or less,Sales and Related Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,South Atlantic,0,3,4,4,4.0,1.0,0.0
911,Married,11-15 years,Every night,Office and Administrative Support Occupations,Male,45-60,"$150,000+",Graduate degree,South Atlantic,0,3,5,5,3.0,5.0,0.0
912,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,Did not disclose,Bachelor degree,South Atlantic,1,4,0,4,5.0,0.0,1.0
913,Married,More than 20 years,Every night,Healthcare Practitioners and Technical Occupations,Female,> 60,Did not disclose,Some college or Associate degree,Middle Atlantic,1,4,0,3,5.0,5.0,0.0
914,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,3,3,4,5.0,0.0,1.0
915,Married,More than 20 years,Once a year or less,retired,Female,> 60,"$150,000+",Bachelor degree,Middle Atlantic,1,4,5,4,5.0,1.0,0.0
916,Married,6-10 years,Never,"Education, Training, and Library Occupations",Female,18-29,"$50,000 - $99,999",Graduate degree,Middle Atlantic,1,1,3,5,2.0,0.0,1.0
917,Married,More than 20 years,A few times per week,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,3,3,3,5.0,4.0,0.0
918,"Single, but cohabiting with a significant other",11-15 years,Never,Food Preparation and Serving Related Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,West South Central,1,3,4,3,3.0,0.0,1.0
919,Married,More than 20 years,A few times per month,"Life, Physical, and Social Science Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,3.0,0.0
920,Married,11-15 years,Never,Personal Care and Service Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific,1,2,3,3,3.0,0.0,1.0
921,Married,6-10 years,Never,Housekeeping supervisor,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,Mountain,1,2,2,3,2.0,0.0,1.0
922,Married,More than 20 years,Never,retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,East North Central,0,4,3,4,5.0,0.0,1.0
923,Married,More than 20 years,Never,Production Occupations,Male,> 60,"$50,000 - $99,999",Graduate degree,East North Central,0,4,3,5,5.0,0.0,1.0
924,"Single, but cohabiting with a significant other",1-5 years,A few times per month,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic,1,2,4,4,1.0,3.0,0.0
925,Married,11-15 years,Never,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,West North Central,1,2,3,4,3.0,0.0,1.0
926,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific,1,4,4,5,5.0,0.0,1.0
927,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Male,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,0,3,4,5,5.0,0.0,1.0
928,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central,1,3,4,3,5.0,0.0,1.0
929,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
930,Divorced,1-5 years,Never,Healthcare Support Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,1,2,3,3,1.0,0.0,1.0
931,Married,1-5 years,Never,Business and Financial Operations Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Mountain,0,3,4,3,1.0,0.0,1.0
932,Married,More than 20 years,Never,Retired,Male,> 60,"$100,000 - $149,999",Graduate degree,South Atlantic,0,4,4,5,5.0,0.0,1.0
933,Married,11-15 years,Every night,stay at home mom,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,2,3,3,3.0,5.0,0.0
934,Married,11-15 years,Never,goverment,Male,45-60,"$100,000 - $149,999",High school degree,Middle Atlantic,0,3,4,2,3.0,0.0,1.0
935,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$100,000 - $149,999",Graduate degree,East South Central,1,2,4,5,5.0,0.0,1.0
936,"Single, but cohabiting with a significant other",6-10 years,Never,Business and Financial Operations Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,1,3,4,2.0,0.0,1.0
937,"Single, but cohabiting with a significant other",1-5 years,Never,Business and Financial Operations Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,2,3,4,1.0,0.0,1.0
938,Married,More than 20 years,Never,Legal Occupations,Male,45-60,"$150,000+",Graduate degree,Pacific,0,3,5,5,5.0,0.0,1.0
939,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Female,45-60,Did not disclose,Graduate degree,Pacific,1,3,0,5,5.0,0.0,1.0
940,Married,16-20 years,Never,Homemaker,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,2,3,3,4.0,0.0,1.0
941,Married,More than 20 years,Once a month or less,Office and Administrative Support Occupations,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,West North Central,1,3,3,3,5.0,2.0,0.0
942,Married,More than 20 years,Once a month or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,> 60,Did not disclose,Bachelor degree,Middle Atlantic,1,4,0,4,5.0,2.0,0.0
943,Married,6-10 years,Once a year or less,Architecture and Engineering Occupations,Female,30-44,"$150,000+",Graduate degree,South Atlantic,1,2,5,5,2.0,1.0,0.0
944,"Single, but cohabiting with a significant other",11-15 years,A few times per month,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,Pacific,1,2,3,4,3.0,3.0,0.0
945,In a domestic partnership or civil union,16-20 years,Never,"Education, Training, and Library Occupations",Male,> 60,Did not disclose,Graduate degree,East North Central,0,4,0,5,4.0,0.0,1.0
946,In a domestic partnership or civil union,6-10 years,Never,Business and Financial Operations Occupations,Female,> 60,"$100,000 - $149,999",Graduate degree,New England,1,4,4,5,2.0,0.0,1.0
947,Married,1-5 years,Never,Management Occupations,Female,45-60,Did not disclose,Bachelor degree,Middle Atlantic,1,3,0,4,1.0,0.0,1.0
948,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Management Occupations,Female,30-44,"$100,000 - $149,999",Bachelor degree,Pacific,1,2,4,4,1.0,2.0,0.0
949,Married,16-20 years,Never,Healthcare Practitioners and Technical Occupations,Female,30-44,"$100,000 - $149,999",Bachelor degree,New England,1,2,4,4,4.0,0.0,1.0
950,Married,11-15 years,Never,Environmental Consulting,Female,30-44,"$50,000 - $99,999",Bachelor degree,New England,1,2,3,4,3.0,0.0,1.0
951,Married,More than 20 years,Never,Office and Administrative Support Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
952,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic,1,3,3,5,5.0,1.0,0.0
953,Married,1-5 years,Never,Office and Administrative Support Occupations,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,West South Central,0,1,2,3,1.0,0.0,1.0
954,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,"$50,000 - $99,999",High school degree,West North Central,0,2,3,2,5.0,0.0,1.0
955,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic,1,3,3,5,5.0,0.0,1.0
956,Married,16-20 years,Never,"Education, Training, and Library Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,4.0,0.0,1.0
957,Married,More than 20 years,Never,unemployed,Female,45-60,"$150,000+",Graduate degree,East North Central,1,3,5,5,5.0,0.0,1.0
958,Married,11-15 years,A few times per month,"Education, Training, and Library Occupations",Female,45-60,"$150,000+",High school degree,Pacific,1,3,5,2,3.0,3.0,0.0
959,"Single, but cohabiting with a significant other",1-5 years,A few times per week,Physical Service / Trade - Dog Grooming,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,New England,1,1,3,3,1.0,4.0,0.0
960,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,> 60,"$50,000 - $99,999",High school degree,East South Central,1,4,3,2,5.0,0.0,1.0
961,Married,6-10 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,18-29,"$100,000 - $149,999",Some college or Associate degree,West North Central,1,1,4,3,2.0,0.0,1.0
962,Married,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,,,
963,Married,16-20 years,Never,"Education, Training, and Library Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,4.0,0.0,1.0
964,Married,More than 20 years,A few times per week,retired,Female,> 60,"$25,000 - $49,999",Graduate degree,Mountain,1,4,2,5,5.0,4.0,0.0
965,Married,16-20 years,Once a year or less,Personal Care and Service Occupations,Female,45-60,"$0 - $24,999",Some college or Associate degree,West North Central,1,3,1,3,4.0,1.0,0.0
966,"Single, but cohabiting with a significant other",6-10 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain,1,2,3,3,2.0,0.0,1.0
967,Married,6-10 years,Never,Sales and Related Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,2.0,0.0,1.0
968,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,Did not disclose,Some college or Associate degree,Pacific,1,3,0,3,5.0,0.0,1.0
969,Married,More than 20 years,Never,"global health, management consulting",Female,45-60,Did not disclose,Graduate degree,South Atlantic,1,3,0,5,5.0,0.0,1.0
970,Married,More than 20 years,Every night,Retired,Female,> 60,"$50,000 - $99,999",High school degree,South Atlantic,1,4,3,2,5.0,5.0,0.0
971,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,45-60,"$150,000+",Bachelor degree,Middle Atlantic,1,3,5,4,5.0,0.0,1.0
972,Married,16-20 years,Every night,Community and Social Service Occupations,Female,45-60,"$25,000 - $49,999",Bachelor degree,West South Central,1,3,2,4,4.0,5.0,0.0
973,Married,6-10 years,Never,Legal Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,2.0,0.0,1.0
974,Married,More than 20 years,Every night,Computer and Mathematical Occupations,Male,> 60,"$25,000 - $49,999",Graduate degree,Middle Atlantic,0,4,2,5,5.0,5.0,0.0
975,In a domestic partnership or civil union,6-10 years,Never,Building and Grounds Cleaning and Maintenance Occupations,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,1,3,2,3,2.0,0.0,1.0
976,In a domestic partnership or civil union,1-5 years,Once a year or less,Office and Administrative Support Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific,0,2,3,3,1.0,1.0,0.0
977,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,0,4,4,5,5.0,0.0,1.0
978,Married,6-10 years,Never,Sales and Related Occupations,Female,> 60,"$150,000+",High school degree,West South Central,1,4,5,2,2.0,0.0,1.0
979,Married,More than 20 years,Once a month or less,Office and Administrative Support Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,4,3,3,5.0,2.0,0.0
980,Married,16-20 years,Every night,"Education, Training, and Library Occupations",Female,30-44,Did not disclose,Graduate degree,Middle Atlantic,1,2,0,5,4.0,5.0,0.0
981,Married,More than 20 years,Never,real estate appraisal,Female,45-60,"$150,000+",Bachelor degree,East North Central,1,3,5,4,5.0,0.0,1.0
982,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,1,3,4,3,5.0,0.0,1.0
983,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,> 60,"$150,000+",Graduate degree,New England,1,4,5,5,5.0,0.0,1.0
984,Married,More than 20 years,Never,Community and Social Service Occupations,Female,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,3,3,4,5.0,0.0,1.0
985,Married,More than 20 years,A few times per month,"Education, Training, and Library Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,3.0,0.0
986,Married,6-10 years,Never,Legal Occupations,Female,45-60,"$150,000+",High school degree,Middle Atlantic,1,3,5,2,2.0,0.0,1.0
987,Married,More than 20 years,Never,Retired,Female,> 60,Did not disclose,Graduate degree,South Atlantic,1,4,0,5,5.0,0.0,1.0
988,Married,11-15 years,Every night,"Education, Training, and Library Occupations",Female,30-44,Did not disclose,Graduate degree,Pacific,1,2,0,5,3.0,5.0,0.0
989,Married,16-20 years,Never,Management Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,1,2,3,3,4.0,0.0,1.0
990,In a domestic partnership or civil union,6-10 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic,1,2,3,5,2.0,0.0,1.0
991,Married,More than 20 years,Never,Retired Christian Pastor,Male,> 60,"$25,000 - $49,999",Graduate degree,Middle Atlantic,0,4,2,5,5.0,0.0,1.0
