,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,Occupation,Gender,Age,Household income,Education,Location,Gender_code,Age_code,Household income_code,Education_code,sleep together?
586,Married,More than 20 years,Every night,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,East South Central,1,3,4,5,0
587,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific,1,4,4,5,0
588,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Male,> 60,"$50,000 - $99,999",Graduate degree,New England,0,4,3,5,1
589,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,> 60,"$50,000 - $99,999",Graduate degree,Mountain,0,4,3,5,1
590,Married,More than 20 years,Once a year or less,interior design,Female,45-60,Did not disclose,Bachelor degree,New England,1,3,0,4,0
591,In a domestic partnership or civil union,More than 20 years,Once a year or less,Production Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
592,Married,More than 20 years,Never,Retired1,Male,> 60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,0,4,2,4,1
593,Married,6-10 years,A few times per month,Food Preparation and Serving Related Occupations,Male,30-44,"$0 - $24,999",High school degree,Did not disclose,0,2,1,2,0
594,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific,1,4,4,5,0
595,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Female,> 60,Did not disclose,Bachelor degree,Pacific,1,4,0,4,0
596,Married,More than 20 years,Once a year or less,Healthcare Practitioners and Technical Occupations,Female,45-60,Did not disclose,Bachelor degree,Pacific,1,3,0,4,0
597,Married,16-20 years,Never,"Education, Training, and Library Occupations",Male,45-60,Did not disclose,Some college or Associate degree,East North Central,0,3,0,3,1
598,"Single, but cohabiting with a significant other",1-5 years,Never,Architecture and Engineering Occupations,Male,18-29,"$0 - $24,999",Some college or Associate degree,West South Central,0,1,1,3,1
599,Married,More than 20 years,Never,Business and Financial Operations Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
600,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,45-60,Did not disclose,Some college or Associate degree,East North Central,1,3,0,3,1
601,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Personal Care and Service Occupations,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,1,3,2,3,0
602,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,> 60,Did not disclose,Bachelor degree,Middle Atlantic,0,4,0,4,1
603,Married,1-5 years,Never,"Life, Physical, and Social Science Occupations",Female,18-29,"$25,000 - $49,999",Graduate degree,Mountain,1,1,2,5,1
604,Married,11-15 years,Never,Product development,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
605,"Single, but cohabiting with a significant other",11-15 years,Every night,Law enforcement,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,1,3,3,3,0
606,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",High school degree,East North Central,1,3,4,2,1
607,Married,More than 20 years,Never,retired,Female,> 60,"$25,000 - $49,999",Graduate degree,Middle Atlantic,1,4,2,5,1
608,Married,More than 20 years,Once a year or less,Sales and Related Occupations,Female,> 60,"$25,000 - $49,999",High school degree,West North Central,1,4,2,2,0
609,In a domestic partnership or civil union,6-10 years,Once a year or less,"Life, Physical, and Social Science Occupations",Female,30-44,Did not disclose,Graduate degree,Pacific,1,2,0,5,0
610,Married,More than 20 years,Once a month or less,"Life, Physical, and Social Science Occupations",Female,30-44,Did not disclose,Graduate degree,Middle Atlantic,1,2,0,5,0
611,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,Business and Financial Operations Occupations,Female,45-60,Did not disclose,Graduate degree,East North Central,1,3,0,5,0
612,Married,More than 20 years,Once a year or less,Computer and Mathematical Occupations,Male,> 60,Did not disclose,Graduate degree,Mountain,0,4,0,5,0
613,In a domestic partnership or civil union,More than 20 years,Once a year or less,TEXTILES,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,1,2,2,3,0
614,"Single, but cohabiting with a significant other",1-5 years,Never,Healthcare Support Occupations,Female,18-29,Did not disclose,Bachelor degree,Middle Atlantic,1,1,0,4,1
615,Married,11-15 years,Never,Management Occupations,Male,> 60,"$150,000+",Graduate degree,East North Central,0,4,5,5,1
616,Married,11-15 years,Never,Computer and Mathematical Occupations,Male,30-44,"$150,000+",Bachelor degree,Middle Atlantic,0,2,5,4,1
617,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,1,3,4,5,1
618,Married,More than 20 years,A few times per week,Sales and Related Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,0,4,4,4,0
619,Married,16-20 years,Every night,"Farming, Fishing, and Forestry Occupations",Female,45-60,"$25,000 - $49,999",Some college or Associate degree,East North Central,1,3,2,3,0
620,Married,11-15 years,Never,Information Technology,Male,45-60,"$50,000 - $99,999",Bachelor degree,West North Central,0,3,3,4,1
621,Married,11-15 years,Never,Community and Social Service Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific,0,2,4,4,1
622,Married,16-20 years,Once a year or less,Office and Administrative Support Occupations,Female,30-44,Did not disclose,Bachelor degree,Middle Atlantic,1,2,0,4,0
623,Married,More than 20 years,Never,Transportation and Materials Moving Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,0,3,4,4,1
624,Married,More than 20 years,Once a month or less,Office and Administrative Support Occupations,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific,1,4,4,5,0
625,Married,More than 20 years,Never,Avocational job-shop (machinist),Male,> 60,Did not disclose,Some college or Associate degree,West South Central,0,4,0,3,1
626,Married,16-20 years,Once a year or less,Sales and Related Occupations,Female,45-60,"$50,000 - $99,999",Bachelor degree,East North Central,1,3,3,4,0
627,Married,More than 20 years,Never,retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,4,3,4,1
628,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,45-60,Did not disclose,Bachelor degree,East North Central,0,3,0,4,1
629,Married,11-15 years,Never,Domestic specialist,Female,30-44,"$0 - $24,999",Bachelor degree,West North Central,1,2,1,4,1
630,Married,More than 20 years,Never,retired,Male,> 60,"$25,000 - $49,999",Bachelor degree,East North Central,0,4,2,4,1
631,Married,More than 20 years,Every night,"Education, Training, and Library Occupations",Female,45-60,"$25,000 - $49,999",Bachelor degree,South Atlantic,1,3,2,4,0
632,Married,1-5 years,Once a year or less,Healthcare Practitioners and Technical Occupations,Female,18-29,"$0 - $24,999",Bachelor degree,New England,1,1,1,4,0
633,Married,More than 20 years,Never,Manufacturing,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Mountain,0,3,4,3,1
634,Married,6-10 years,Once a month or less,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central,1,3,4,3,0
635,In a domestic partnership or civil union,11-15 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,1,2,2,3,1
636,Married,More than 20 years,Never,Retired,Female,> 60,Did not disclose,Some college or Associate degree,New England,1,4,0,3,1
637,Married,More than 20 years,Once a month or less,Office and Administrative Support Occupations,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,3,3,3,0
638,In a domestic partnership or civil union,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Female,> 60,Did not disclose,Did not disclose,Middle Atlantic,1,4,0,0,1
639,Divorced,1-5 years,Never,Gas attendant.,Male,> 60,"$0 - $24,999",Some college or Associate degree,Middle Atlantic,0,4,1,3,1
640,Married,More than 20 years,Every night,Sales and Related Occupations,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central,0,4,2,3,0
641,Married,More than 20 years,Once a month or less,Healthcare Support Occupations,Female,> 60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,1,4,4,5,0
642,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,3,3,4,1
643,Married,More than 20 years,Never,retired,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,3,3,3,1
644,Married,1-5 years,Never,Computer and Mathematical Occupations,Female,18-29,"$100,000 - $149,999",Bachelor degree,South Atlantic,1,1,4,4,1
645,Married,16-20 years,A few times per month,Healthcare Support Occupations,Male,45-60,"$25,000 - $49,999",Some college or Associate degree,Pacific,0,3,2,3,0
646,Married,More than 20 years,Every night,retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific,0,4,3,4,0
647,"Single, but cohabiting with a significant other",16-20 years,Never,Healthcare Practitioners and Technical Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,4,3,3,1
648,Married,6-10 years,Once a month or less,"Installation, Maintenance, and Repair Occupations",Male,30-44,"$50,000 - $99,999",Some college or Associate degree,New England,0,2,3,3,0
649,Married,More than 20 years,Once a month or less,Religious Education,Female,30-44,"$100,000 - $149,999",Graduate degree,East North Central,1,2,4,5,0
650,Married,16-20 years,Every night,DISBLED,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
651,Married,More than 20 years,Never,Sales and Related Occupations,Male,> 60,"$150,000+",Graduate degree,New England,0,4,5,5,1
652,Married,More than 20 years,Once a year or less,Retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific,0,4,3,4,0
653,Married,16-20 years,Never,Translator and editor,Female,> 60,Did not disclose,Graduate degree,Middle Atlantic,1,4,0,5,1
654,Married,11-15 years,Every night,Legal Occupations,Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central,1,2,3,5,0
655,Married,More than 20 years,Never,A/V Consultant,Male,45-60,Did not disclose,Some college or Associate degree,South Atlantic,0,3,0,3,1
656,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,1,3,3,5,0
657,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,45-60,"$100,000 - $149,999",Bachelor degree,New England,0,3,4,4,1
658,"Single, but cohabiting with a significant other",1-5 years,Once a year or less,Research,Female,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,1,3,4,0
659,Married,6-10 years,Every night,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,West North Central,1,2,3,5,0
660,"Single, but cohabiting with a significant other",1-5 years,Never,"Education, Training, and Library Occupations",Female,18-29,Did not disclose,Graduate degree,South Atlantic,1,1,0,5,1
661,Married,More than 20 years,Never,Community and Social Service Occupations,Male,45-60,Did not disclose,Graduate degree,South Atlantic,0,3,0,5,1
662,Married,6-10 years,Never,"Education, Training, and Library Occupations",Male,45-60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,0,3,3,5,1
663,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Female,> 60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,1,4,4,4,0
664,Married,More than 20 years,Every night,RETIRED,Male,> 60,"$50,000 - $99,999",Bachelor degree,East North Central,0,4,3,4,0
665,Married,More than 20 years,Never,Protective Service Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,3,3,3,1
666,Married,More than 20 years,A few times per month,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,1,3,4,5,0
667,Married,More than 20 years,Never,retired,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,West North Central,0,4,3,3,1
668,Married,More than 20 years,Never,RETIRED,Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,0,4,4,4,1
669,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Graduate degree,Mountain,1,2,3,5,1
670,Married,1-5 years,Once a month or less,Architecture and Engineering Occupations,Female,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,1,1,2,4,0
671,Married,More than 20 years,A few times per month,retired,Male,> 60,"$100,000 - $149,999",Graduate degree,West North Central,0,4,4,5,0
672,Married,More than 20 years,Never,Construction and Extraction Occupations,Male,> 60,"$50,000 - $99,999",Bachelor degree,West North Central,0,4,3,4,1
673,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,> 60,Did not disclose,Bachelor degree,New England,1,4,0,4,1
674,Married,More than 20 years,Every night,Management Occupations,Male,45-60,Did not disclose,Bachelor degree,Middle Atlantic,0,3,0,4,0
675,Married,16-20 years,A few times per week,Healthcare Practitioners and Technical Occupations,Female,45-60,"$150,000+",Graduate degree,South Atlantic,1,3,5,5,0
676,"Single, but cohabiting with a significant other",6-10 years,Never,Unemployed,Female,18-29,"$25,000 - $49,999",High school degree,Mountain,1,1,2,2,1
677,Married,More than 20 years,Never,retired,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
678,Married,6-10 years,Once a year or less,Office and Administrative Support Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West South Central,0,2,3,3,0
679,Married,11-15 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,30-44,"$50,000 - $99,999",Bachelor degree,Pacific,1,2,3,4,1
680,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,New England,0,4,4,3,1
681,Married,11-15 years,Once a year or less,Sales and Related Occupations,Female,30-44,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,1,2,4,3,0
682,Married,1-5 years,Once a month or less,Business and Financial Operations Occupations,Female,18-29,Did not disclose,Bachelor degree,West South Central,1,1,0,4,0
683,Married,More than 20 years,Never,retired,Male,> 60,Did not disclose,Graduate degree,South Atlantic,0,4,0,5,1
684,Married,16-20 years,Every night,DISABLED,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,1,4,2,3,0
685,Married,11-15 years,Never,Retired,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,New England,0,4,3,3,1
686,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific,0,4,4,5,1
687,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,Computer and Mathematical Occupations,Male,30-44,"$150,000+",Graduate degree,Middle Atlantic,0,2,5,5,0
688,Married,More than 20 years,A few times per month,Healthcare Support Occupations,Male,> 60,"$100,000 - $149,999",Graduate degree,New England,0,4,4,5,0
689,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,"Education, Training, and Library Occupations",Female,45-60,"$150,000+",Graduate degree,Middle Atlantic,1,3,5,5,0
690,Married,More than 20 years,Every night,Healthcare Practitioners and Technical Occupations,Male,45-60,"$150,000+",Graduate degree,East North Central,0,3,5,5,0
691,Married,16-20 years,Never,Computer and Mathematical Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,New England,0,3,4,5,1
692,Married,More than 20 years,Never,Retired,Male,> 60,Did not disclose,Graduate degree,Pacific,0,4,0,5,1
693,Married,6-10 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,30-44,"$150,000+",Graduate degree,Pacific,1,2,5,5,1
694,Married,More than 20 years,Every night,Community and Social Service Occupations,Female,> 60,"$50,000 - $99,999",Bachelor degree,East North Central,1,4,3,4,0
695,In a domestic partnership or civil union,16-20 years,A few times per month,Personal Care and Service Occupations,Female,45-60,"$100,000 - $149,999",Graduate degree,New England,1,3,4,5,0
696,Married,11-15 years,Once a month or less,Healthcare Support Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,Middle Atlantic,0,2,4,5,0
697,Married,More than 20 years,Once a year or less,Food Preparation and Serving Related Occupations,Male,> 60,"$25,000 - $49,999",Bachelor degree,New England,0,4,2,4,0
698,"Single, but cohabiting with a significant other",6-10 years,Never,Business and Financial Operations Occupations,Female,30-44,"$150,000+",Bachelor degree,East North Central,1,2,5,4,1
699,Married,6-10 years,Never,Healthcare Support Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,East North Central,0,1,3,4,1
700,Married,More than 20 years,Once a year or less,Legal Occupations,Female,45-60,"$100,000 - $149,999",Bachelor degree,Pacific,1,3,4,4,0
701,Divorced,11-15 years,Once a month or less,Building and Grounds Cleaning and Maintenance Occupations,Male,45-60,Did not disclose,Some college or Associate degree,Pacific,0,3,0,3,0
702,Married,More than 20 years,Every night,retired,Male,> 60,"$50,000 - $99,999",Graduate degree,East North Central,0,4,3,5,0
703,Married,16-20 years,Every night,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
704,"Single, but cohabiting with a significant other",1-5 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,1,1,2,4,1
705,"Single, but cohabiting with a significant other",1-5 years,Never,Education Non-Profit/National Service - teaching,Female,18-29,"$0 - $24,999",Bachelor degree,West South Central,1,1,1,4,1
706,Married,More than 20 years,Never,Retired,Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,0,4,3,5,1
707,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific,0,4,3,4,0
708,"Single, but cohabiting with a significant other",Less than 1 year,Never,Building and Grounds Cleaning and Maintenance Occupations,Male,> 60,"$150,000+",Less than high school degree,West South Central,0,4,5,1,1
709,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,horticulture,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific,1,1,2,3,0
710,Married,More than 20 years,Never,Transportation and Materials Moving Occupations,Male,45-60,Did not disclose,Bachelor degree,Pacific,0,3,0,4,1
711,Married,More than 20 years,Never,homemaker,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,East North Central,1,3,2,3,1
712,Married,11-15 years,Never,"Education, Training, and Library Occupations",Male,30-44,"$25,000 - $49,999",Graduate degree,South Atlantic,0,2,2,5,1
713,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,2,3,4,1
714,Married,11-15 years,A few times per month,Healthcare Support Occupations,Female,30-44,Did not disclose,Graduate degree,South Atlantic,1,2,0,5,0
715,Married,1-5 years,Never,Community and Social Service Occupations,Male,30-44,Did not disclose,Bachelor degree,Mountain,0,2,0,4,1
716,Married,More than 20 years,Every night,sAFETY,Male,45-60,"$100,000 - $149,999",Graduate degree,West North Central,0,3,4,5,0
717,Married,More than 20 years,A few times per month,Business and Financial Operations Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,1,4,3,3,0
718,Married,16-20 years,Never,retired,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
719,Married,More than 20 years,Every night,Office and Administrative Support Occupations,Female,30-44,Did not disclose,Some college or Associate degree,Mountain,1,2,0,3,0
720,Married,11-15 years,Every night,Sales and Related Occupations,Female,45-60,"$50,000 - $99,999",High school degree,Pacific,1,3,3,2,0
721,Married,More than 20 years,Once a month or less,Retired,Male,> 60,"$100,000 - $149,999",Graduate degree,West North Central,0,4,4,5,0
722,Married,11-15 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,4,3,3,1
723,Married,1-5 years,Never,Management Occupations,Female,30-44,Did not disclose,Graduate degree,South Atlantic,1,2,0,5,1
724,Married,16-20 years,Every night,"Education, Training, and Library Occupations",Male,45-60,"$25,000 - $49,999",Bachelor degree,South Atlantic,0,3,2,4,0
725,"Single, but cohabiting with a significant other",6-10 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,0,2,2,4,1
726,"Single, but cohabiting with a significant other",1-5 years,Never,Healthcare Support Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
727,Married,More than 20 years,Never,Healthcare Support Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,0,3,4,5,1
728,Married,More than 20 years,Every night,retired,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,0,4,4,3,0
729,Married,6-10 years,Once a year or less,Homemaker,Female,18-29,Did not disclose,Some college or Associate degree,Middle Atlantic,1,1,0,3,0
730,"Single, but cohabiting with a significant other",6-10 years,Every night,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
731,"Single, but cohabiting with a significant other",Less than 1 year,Never,Personal Care and Service Occupations,Female,> 60,"$50,000 - $99,999",High school degree,Middle Atlantic,1,4,3,2,1
732,Married,16-20 years,Never,Retired,Male,> 60,"$150,000+",Some college or Associate degree,West South Central,0,4,5,3,1
733,Married,11-15 years,A few times per week,Administrative Assistant,Female,30-44,"$25,000 - $49,999",High school degree,South Atlantic,1,2,2,2,0
734,Married,11-15 years,Every night,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific,1,2,3,3,0
735,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,> 60,Did not disclose,Bachelor degree,East North Central,1,4,0,4,1
736,Married,6-10 years,Never,Healthcare Support Occupations,Female,30-44,"$50,000 - $99,999",High school degree,South Atlantic,1,2,3,2,1
737,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,45-60,"$150,000+",Bachelor degree,Pacific,1,3,5,4,1
738,Married,More than 20 years,Every night,Retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,0,4,3,4,0
739,Married,More than 20 years,Never,Business and Financial Operations Occupations,Female,> 60,Did not disclose,Bachelor degree,Mountain,1,4,0,4,1
740,Married,More than 20 years,Once a year or less,retire,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
741,Married,More than 20 years,Never,retired,Male,> 60,"$100,000 - $149,999",Graduate degree,New England,0,4,4,5,1
742,Married,11-15 years,Never,Healthcare Support Occupations,Female,30-44,Did not disclose,Some college or Associate degree,East North Central,1,2,0,3,1
743,Married,6-10 years,Every night,"Life, Physical, and Social Science Occupations",Female,45-60,"$150,000+",Graduate degree,Mountain,1,3,5,5,0
744,Married,More than 20 years,Once a year or less,Office and Administrative Support Occupations,Female,45-60,"$50,000 - $99,999",High school degree,East South Central,1,3,3,2,0
745,Married,6-10 years,Never,Management Occupations,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,0,4,4,3,1
746,In a domestic partnership or civil union,6-10 years,A few times per month,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,East North Central,1,3,4,5,0
747,Married,More than 20 years,Never,Management Occupations,Female,45-60,Did not disclose,Bachelor degree,Middle Atlantic,1,3,0,4,1
748,Married,11-15 years,Every night,Office and Administrative Support Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,3,3,3,0
749,Married,6-10 years,Never,"Farming, Fishing, and Forestry Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,Middle Atlantic,1,2,3,5,1
750,Married,6-10 years,Once a year or less,Healthcare Practitioners and Technical Occupations,Male,30-44,Did not disclose,Graduate degree,Middle Atlantic,0,2,0,5,0
751,Married,6-10 years,A few times per month,Production Occupations,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,0,2,2,3,0
752,Separated,16-20 years,Every night,Architecture and Engineering Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
753,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,1,4,4,5,1
754,Married,More than 20 years,Never,bio-medical technician,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,0,3,4,3,1
755,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,45-60,Did not disclose,Some college or Associate degree,West North Central,0,3,0,3,1
756,Separated,More than 20 years,Never,Computer and Mathematical Occupations,Female,> 60,"$0 - $24,999",Some college or Associate degree,South Atlantic,1,4,1,3,1
757,In a domestic partnership or civil union,16-20 years,Every night,Production Occupations,Female,45-60,"$50,000 - $99,999",Less than high school degree,South Atlantic,1,3,3,1,0
758,Married,More than 20 years,Once a month or less,Legal Occupations,Female,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic,1,2,4,5,0
759,"Single, but cohabiting with a significant other",1-5 years,Never,Sales and Related Occupations,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,East South Central,1,2,2,3,1
760,Married,More than 20 years,Never,retired,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific,0,4,4,5,1
761,Married,More than 20 years,Once a month or less,Office and Administrative Support Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
762,Married,16-20 years,Never,Community and Social Service Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific,0,3,3,3,1
763,"Single, but cohabiting with a significant other",11-15 years,Once a month or less,Computer and Mathematical Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,West South Central,1,2,3,4,0
764,Married,More than 20 years,Every night,"Education, Training, and Library Occupations",Female,> 60,"$150,000+",Bachelor degree,Middle Atlantic,1,4,5,4,0
765,Married,More than 20 years,A few times per month,retire,Female,> 60,"$0 - $24,999",Some college or Associate degree,Middle Atlantic,1,4,1,3,0
766,Married,11-15 years,Never,Office and Administrative Support Occupations,Female,45-60,Did not disclose,Graduate degree,South Atlantic,1,3,0,5,1
767,Married,More than 20 years,Never,Retired,Male,> 60,"$50,000 - $99,999",Graduate degree,East North Central,0,4,3,5,1
768,Married,More than 20 years,Never,Architecture and Engineering Occupations,Female,30-44,"$25,000 - $49,999",Bachelor degree,West South Central,1,2,2,4,1
769,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Legal Occupations,Female,18-29,Did not disclose,Some college or Associate degree,Middle Atlantic,1,1,0,3,0
770,Married,1-5 years,Once a month or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,"$150,000+",Bachelor degree,Pacific,0,2,5,4,0
771,Married,More than 20 years,Once a year or less,unemployed,Male,45-60,"$0 - $24,999",Bachelor degree,East North Central,0,3,1,4,0
772,"Single, but cohabiting with a significant other",16-20 years,Every night,"Education, Training, and Library Occupations",Male,45-60,"$150,000+",Bachelor degree,New England,0,3,5,4,0
773,Married,More than 20 years,Never,Community and Social Service Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
774,Married,11-15 years,Never,Healthcare Practitioners and Technical Occupations,Female,45-60,"$150,000+",Graduate degree,South Atlantic,1,3,5,5,1
775,Married,6-10 years,Once a year or less,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central,1,2,3,5,0
776,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,West North Central,0,4,4,4,1
777,Married,More than 20 years,Once a month or less,Office and Administrative Support Occupations,Female,45-60,"$50,000 - $99,999",Bachelor degree,East North Central,1,3,3,4,0
778,Married,1-5 years,Never,Unemployed,Female,30-44,Did not disclose,High school degree,Pacific,1,2,0,2,1
